条文较正数,流 年 岁 数,流 年字 母,加数,基数
1,1,"福分粉
方务勿
娼问",992,1141
1,3,"福分粉
方务勿
娼问",992,2196
1,5,"福分粉
方务勿
娼问",992,3017
1,7,"福分粉
方务勿
娼问",992,3696
1,9,"福分粉
方务勿
娼问",992,4518
1,81,"福分粉
方务勿
娼问",992,1319
1,83,"福分粉
方务勿
娼问",992,3377
1,85,"福分粉
方务勿
娼问",992,2428
1,87,"福分粉
方务勿
娼问",992,1367
1,89,"福分粉
方务勿
娼问",992,5181
1,91,"福分粉
方务勿
娼问",992,1327
1,93,"福分粉
方务勿
娼问",992,2155
1,95,"福分粉
方务勿
娼问",992,3530
1,97,"福分粉
方务勿
娼问",992,3642
1,99,"福分粉
方务勿
娼问",992,3145
1,101,"福分粉
方务勿
娼问",992,8436
1,103,"福分粉
方务勿
娼问",992,3007
1,105,"福分粉
方务勿
娼问",992,
1,107,"福分粉
方务勿
娼问",992,8517
2,2,"器坷
玄和",493,7658
2,4,"器坷
玄和",493,8499
2,6,"器坷
玄和",493,6005
2,8,"器坷
玄和",493,5961
2,10,"器坷
玄和",493,8855
2,82,"器坷
玄和",493,4437
2,84,"器坷
玄和",493,8492
2,86,"器坷
玄和",493,7037
2,88,"器坷
玄和",493,
2,90,"器坷
玄和",493,7018
2,92,"器坷
玄和",493,8836
2,94,"器坷
玄和",493,8772
2,96,"器坷
玄和",493,
2,98,"器坷
玄和",493,11284
2,100,"器坷
玄和",493,
2,102,"器坷
玄和",493,
2,104,"器坷
玄和",493,8977
2,106,"器坷
玄和",493,
2,108,"器坷
玄和",493,
3,1,"忆召滞
桃舌离
誓绍",655,1753
3,3,"忆召滞
桃舌离
誓绍",655,7601
3,5,"忆召滞
桃舌离
誓绍",655,4752
3,7,"忆召滞
桃舌离
誓绍",655,5571
3,9,"忆召滞
桃舌离
誓绍",655,3924
3,81,"忆召滞
桃舌离
誓绍",655,5400
3,83,"忆召滞
桃舌离
誓绍",655,3202
3,85,"忆召滞
桃舌离
誓绍",655,4099
3,87,"忆召滞
桃舌离
誓绍",655,4993
3,89,"忆召滞
桃舌离
誓绍",655,3536
3,91,"忆召滞
桃舌离
誓绍",655,8000
3,93,"忆召滞
桃舌离
誓绍",655,7214
3,95,"忆召滞
桃舌离
誓绍",655,7068
3,97,"忆召滞
桃舌离
誓绍",655,11058
3,99,"忆召滞
桃舌离
誓绍",655,7115
3,101,"忆召滞
桃舌离
誓绍",655,10716
3,103,"忆召滞
桃舌离
誓绍",655,
3,105,"忆召滞
桃舌离
誓绍",655,10376
3,107,"忆召滞
桃舌离
誓绍",655,
4,2,"龙吏鲁
禄动弟
社屯",169,3105
4,4,"龙吏鲁
禄动弟
社屯",169,5650
4,6,"龙吏鲁
禄动弟
社屯",169,5456
4,8,"龙吏鲁
禄动弟
社屯",169,8705
4,10,"龙吏鲁
禄动弟
社屯",169,5852
4,82,"龙吏鲁
禄动弟
社屯",169,4120
4,84,"龙吏鲁
禄动弟
社屯",169,4529
4,86,"龙吏鲁
禄动弟
社屯",169,5775
4,88,"龙吏鲁
禄动弟
社屯",169,5708
4,90,"龙吏鲁
禄动弟
社屯",169,3988
4,92,"龙吏鲁
禄动弟
社屯",169,9070
4,94,"龙吏鲁
禄动弟
社屯",169,4067
4,96,"龙吏鲁
禄动弟
社屯",169,9101
4,98,"龙吏鲁
禄动弟
社屯",169,9121
4,100,"龙吏鲁
禄动弟
社屯",169,7816
4,102,"龙吏鲁
禄动弟
社屯",169,9261
4,104,"龙吏鲁
禄动弟
社屯",169,
4,106,"龙吏鲁
禄动弟
社屯",169,
4,108,"龙吏鲁
禄动弟
社屯",169,
5,1,"神肾
物尾",331,6208
5,3,"神肾
物尾",331,1577
5,5,"神肾
物尾",331,2588
5,7,"神肾
物尾",331,1934
5,9,"神肾
物尾",331,8621
5,81,"神肾
物尾",331,2869
5,83,"神肾
物尾",331,3078
5,85,"神肾
物尾",331,2125
5,87,"神肾
物尾",331,10770
5,89,"神肾
物尾",331,1480
5,91,"神肾
物尾",331,3092
5,93,"神肾
物尾",331,5021
5,95,"神肾
物尾",331,1959
5,97,"神肾
物尾",331,4828
5,99,"神肾
物尾",331,
5,101,"神肾
物尾",331,9118
5,103,"神肾
物尾",331,
5,105,"神肾
物尾",331,
5,107,"神肾
物尾",331,3238
6,2,"等旦
刀西萨
訾省",817,3039
6,4,"等旦
刀西萨
訾省",817,8067
6,6,"等旦
刀西萨
訾省",817,7691
6,8,"等旦
刀西萨
訾省",817,7437
6,10,"等旦
刀西萨
訾省",817,6937
6,82,"等旦
刀西萨
訾省",817,8108
6,84,"等旦
刀西萨
訾省",817,8342
6,86,"等旦
刀西萨
訾省",817,10364
6,88,"等旦
刀西萨
訾省",817,5669
6,90,"等旦
刀西萨
訾省",817,10854
6,92,"等旦
刀西萨
訾省",817,10654
6,94,"等旦
刀西萨
訾省",817,8443
6,96,"等旦
刀西萨
訾省",817,
6,98,"等旦
刀西萨
訾省",817,10919
6,100,"等旦
刀西萨
訾省",817,
6,102,"等旦
刀西萨
訾省",817,
6,104,"等旦
刀西萨
訾省",817,
6,106,"等旦
刀西萨
訾省",817,
6,108,"等旦
刀西萨
訾省",817,
